GroupId|ArtifactId|Version
org.springframework.data|spring-data-commons|1.13.9.RELEASE
org.unitils|unitils-core|3.4.2
commons-logging|commons-logging|1.2
commons-lang|commons-lang|2.3
commons-collections|commons-collections|3.2
ognl|ognl|2.6.9
com.fasterxml.jackson.core|jackson-annotations|2.9.3
com.fasterxml.jackson.core|jackson-databind|2.9.3
com.fasterxml.jackson.core|jackson-core|2.9.3
org.codehaus.jackson|jackson-core-asl|1.9.13
org.json|json|20151123
commons-io|commons-io|2.6
org.hamcrest|hamcrest-core|1.3
uk.co.loyalty|iss-aip-common-test-security|0-SNAPSHOT
uk.co.loyalty|iss-aip-common-security-impl|0-SNAPSHOT
org.springframework|spring-web|5.0.4.RELEASE
org.springframework|spring-webmvc|5.0.4.RELEASE
org.springframework.security|spring-security-config|5.0.0.RELEASE
org.springframework.security|spring-security-web|5.0.0.RELEASE
org.springframework.security|spring-security-jwt|1.0.9.RELEASE
org.bouncycastle|bcpkix-jdk15on|1.56
org.bouncycastle|bcprov-jdk15on|1.56
com.google.guava|guava|23
com.google.code.findbugs|jsr305|3.0.2
com.google.errorprone|error_prone_annotations|2.0.18
com.google.j2objc|j2objc-annotations|1.1
org.codehaus.mojo|animal-sniffer-annotations|1.14
org.springframework.boot|spring-boot-test|1.5.9.RELEASE
org.springframework.boot|spring-boot|1.5.9.RELEASE
uk.co.loyalty|iss-aip-common-service|0-SNAPSHOT
uk.co.loyalty|iss-aip-common-domain|0-SNAPSHOT
org.apache.commons|commons-lang3|3.7
org.hibernate.javax.persistence|hibernate-jpa-2.1-api|1.0.0.Final
org.springframework|spring-core|5.0.4.RELEASE
org.springframework|spring-jcl|5.0.4.RELEASE
org.springframework|spring-context|5.0.4.RELEASE
org.springframework|spring-beans|5.0.4.RELEASE
org.springframework|spring-expression|5.0.4.RELEASE
org.springframework|spring-context-support|5.0.4.RELEASE
org.springframework|spring-aop|5.0.4.RELEASE
org.springframework|spring-aspects|5.0.4.RELEASE
org.springframework|spring-tx|5.0.4.RELEASE
org.aspectj|aspectjweaver|1.8.13
org.springframework.security|spring-security-core|5.0.0.RELEASE
net.sf.dozer|dozer-spring|5.5.1
net.sf.dozer|dozer|5.5.1
commons-beanutils|commons-beanutils|1.9.1
net.sf.ehcache|ehcache|2.10.1
javax.validation|validation-api|1.1.0.Final
org.hibernate|hibernate-validator|5.2.4.Final
org.jboss.logging|jboss-logging|3.2.1.Final
com.fasterxml|classmate|1.1.0
org.hamcrest|hamcrest-all|1.3
org.springframework.boot|spring-boot-devtools|1.5.9.RELEASE
org.springframework.boot|spring-boot-autoconfigure|1.5.9.RELEASE
org.slf4j|slf4j-api|1.7.25
org.slf4j|slf4j-ext|1.7.25
ch.qos.logback|logback-classic|1.2.3
ch.qos.logback|logback-core|1.2.3
org.slf4j|log4j-over-slf4j|1.7.25
org.slf4j|jcl-over-slf4j|1.7.25
org.slf4j|jul-to-slf4j|1.7.25
junit|junit|4.12
org.junit.jupiter|junit-jupiter-api|5.0.2
org.opentest4j|opentest4j|1.0.0
org.junit.platform|junit-platform-commons|1.0.2
org.junit.jupiter|junit-jupiter-migrationsupport|5.0.2
org.springframework|spring-instrument|5.0.4.RELEASE
org.springframework|spring-test|5.0.4.RELEASE
org.mockito|mockito-core|1.10.19
org.objenesis|objenesis|2.1
com.google.code.bean-matchers|bean-matchers|0.1
org.junit.jupiter|junit-jupiter-engine|5.0.2
org.junit.platform|junit-platform-engine|1.0.2
org.junit.vintage|junit-vintage-engine|4.12.2
